CountyFIPS,Density,ruralUrban
16007,6.3,Rural
16009,12.0,Rural
16011,22.4,Rural
16013,8.7,Rural
16015,4.2,Rural
16017,26.6,Rural
16019,64.2,Rural
16021,9.7,Rural
16023,1.2,Rural
16025,1.0,Rural
16027,395.0,Rural
16029,4.1,Rural
16031,9.4,Rural
16033,0.5,Rural
16035,3.6,Rural
16037,0.9,Rural
16039,9.0,Rural
16041,21.0,Rural
16043,7.0,Rural
16045,32.6,Rural
16047,20.9,Rural
16049,2.0,Rural
16051,27.5,Rural
16053,40.9,Rural
16055,134.6,Rural
16057,37.4,Rural
16059,1.8,Rural
16061,8.0,Rural
16063,4.4,Rural
16065,84.6,Rural
16067,27.9,Rural
16069,47.8,Rural
16071,3.8,Rural
16073,1.5,Rural
16075,59.3,Rural
16077,5.5,Rural
16079,4.9,Rural
16081,27.2,Rural
16083,45.4,Rural
16085,3.1,Rural
16087,7.1,Rural
17001,76.6,Rural
17003,24.2,Rural
17005,43.3,Rural
17007,191.0,Rural
17009,21.6,Rural
17011,37.6,Rural
17013,18.6,Rural
17015,32.2,Rural
17017,32.1,Rural
17019,209.9,Rural
17021,45.5,Rural
17023,30.7,Rural
17025,28.2,Rural
17027,79.3,Rural
17029,99.7,Rural
17031,5439.1,Urban
17033,42.1,Rural
17035,31.2,Rural
17037,166.4,Rural
17039,39.3,Rural
17041,46.7,Rural
17043,2813.7,Urban
17045,27.5,Rural
17047,28.7,Rural
17049,71.1,Rural
17051,29.8,Rural
17053,26.7,Rural
17055,94.1,Rural
17057,39.6,Rural
17059,14.9,Rural
17061,23.9,Rural
17063,122.5,Rural
17065,18.7,Rural
17067,22.3,Rural
17069,21.6,Rural
17071,17.5,Rural
17073,59.5,Rural
17075,24.3,Rural
17077,96.9,Rural
17079,19.5,Rural
17081,66.0,Rural
17083,59.1,Rural
17085,35.3,Rural
17087,36.4,Rural
17089,1025.1,Urban
17091,162.2,Rural
17093,404.3,Rural
17095,69.2,Rural
17097,1568.7,Urban
17099,95.9,Rural
17101,42.1,Rural
17103,47.0,Rural
17105,34.2,Rural
17107,46.4,Rural
17109,50.2,Rural
17111,511.1,Urban
17113,144.7,Rural
17115,179.1,Rural
17117,52.1,Rural
17119,367.9,Rural
