density,total_population,countyfips,cancer,binge,csmoking,lpa,sleep
1531.4,473544,12117,6.2,18.7,13.5,23.2,38.3
246.1,134623,12119,6.4,19.4,17.2,23.7,39.4
64.7,44525,12121,6.6,19.6,23.1,31.8,41.4
20.7,21546,12123,6.6,18.4,27.6,34.6,41.5
61.6,14998,12125,6.4,19.8,27.0,32.3,44.5
507.1,558323,12127,6.3,21.1,20.8,27.8,40.2
56.4,34178,12129,6.7,20.3,20.9,28.2,38.5
72.7,75397,12131,6.8,19.9,20.7,26.2,39.6
44.1,25722,12133,6.6,16.7,25.9,34.8,43.4
36.3,18413,13001,6.3,15.8,25.3,38.1,41.3
24.1,8182,13003,6.0,14.9,25.5,42.3,39.1
43.2,11177,13005,6.4,15.8,25.2,37.9,40.0
8.8,3025,13007,6.1,16.0,22.7,36.3,41.8
174.5,44986,13009,6.2,15.7,22.5,33.4,41.5
83.4,19354,13011,6.5,17.8,23.8,34.6,38.9
523.8,83976,13013,6.4,17.0,20.8,33.6,39.0
235.7,108306,13015,6.5,17.0,21.0,32.1,38.5
66.6,16651,13017,6.3,15.2,24.3,38.8,41.2
43.1,19478,13019,6.6,15.9,26.3,37.7,39.7
614.6,153494,13021,6.1,14.8,22.5,34.9,43.7
59.9,12938,13023,6.5,16.0,21.8,33.1,39.7
43.3,19171,13025,6.7,16.5,27.4,37.7,38.9
31.1,15354,13027,6.3,15.1,22.5,36.0,42.0
91.9,40081,13029,6.5,17.7,16.7,26.9,35.6
119.7,80548,13031,6.5,15.9,21.1,32.7,39.1
27.1,22380,13033,6.2,15.2,23.7,36.2,43.6
136.7,25209,13035,6.4,16.1,25.0,35.8,41.3
22.0,6180,13037,5.9,14.7,28.1,42.1,45.0
89.6,54907,13039,6.4,17.8,19.3,29.9,38.2
44.6,10840,13043,6.3,15.6,25.6,40.3,39.9
241.7,120634,13045,6.5,16.8,22.0,31.9,41.1
418.8,67906,13047,6.8,18.1,20.0,29.4,37.3
17.5,13529,13049,6.3,16.1,26.8,39.3,40.7
679.3,289676,13051,6.2,16.9,18.1,29.1,38.9
44.1,10969,13053,6.1,17.0,19.6,32.5,39.5
79.2,24828,13055,6.6,16.9,27.3,36.6,40.6
618.4,260752,13057,6.5,17.9,15.0,24.4,34.8
1079.3,128658,13059,6.2,16.8,18.8,29.7,38.2
14.5,2828,13061,6.1,12.7,28.1,43.3,46.6
2074.8,293733,13063,5.6,12.8,19.8,38.2,44.5
8.3,6631,13065,6.4,14.0,30.3,43.2,42.8
2242.5,761438,13067,6.1,17.4,14.0,24.5,36.1
75.5,43422,13069,6.2,15.6,24.6,37.5,39.9
84.2,45819,13071,6.1,15.6,23.3,39.4,39.8
543.8,157742,13073,6.3,17.4,15.9,24.8,37.8
76.2,17306,13075,6.4,15.5,24.2,35.6,39.5
338.8,149354,13077,6.5,17.6,17.5,28.6,36.0
38.3,12449,13079,6.4,16.7,24.0,36.4,39.8
82.0,22355,13081,6.2,13.8,25.7,39.4,43.6
92.8,16147,13083,6.7,18.5,22.9,31.6,36.3
125.3,26411,13085,6.7,18.7,18.2,26.3,35.7
44.2,26412,13087,6.2,15.2,22.3,36.9,41.5
2837.4,759228,13089,5.9,16.9,14.7,26.6,38.7
41.5,20571,13091,6.4,16.7,24.8,35.7,42.0
34.1,13370,13093,6.0,15.6,24.2,38.4,43.7
269.8,88673,13095,6.0,14.2,23.3,37.2,44.0
735.1,147078,13097,6.1,15.6,18.5,30.6,40.0
19.9,10176,13099,6.2,14.2,25.8,38.8,43.6
9.7,4014,13101,6.2,16.0,22.0,38.2,38.8
136.0,64955,13103,6.6,18.6,19.9,28.0,38.2
54.8,19251,13105,6.4,15.8,24.5,37.4,40.4
33.4,22756,13107,6.3,15.7,24.8,35.7,42.7
58.4,10671,13109,6.2,14.6,24.6,40.2,41.1
68.3,26404,13111,6.7,18.0,21.1,31.2,35.6
591.7,114984,13113,6.2,17.5,13.8,23.0,37.1
193.6,98711,13115,6.5,16.1,22.0,32.4,39.4
1100.8,246592,13117,6.3,18.7,12.6,22.4,33.9
89.7,23468,13119,6.6,16.7,22.9,33.2,39.7
2026.3,1067116,13121,6.0,16.2,13.9,23.8,35.6
74.1,31594,13123,6.5,17.1,21.2,30.0,35.7
20.7,2979,13125,6.6,17.1,24.7,33.7,38.7
204.1,85660,13127,6.5,16.2,20.0,31.8,37.5
163.5,58167,13129,6.4,16.2,21.9,34.9,38.5
54.2,24623,13131,6.3,15.3,22.5,35.7,41.0
47.7,18499,13133,6.3,16.2,20.7,33.2,39.8
2181.8,938995,13135,5.7,16.5,14.9,29.4,39.0
164.1,45414,13137,6.4,17.4,20.5,34.0,37.7
523.3,205525,13139,6.1,16.3,18.0,31.9,35.0
18.0,8475,13141,5.8,14.4,27.2,42.1,45.9
106.2,29955,13143,6.7,17.5,23.0,32.7,38.5
76.5,35486,13145,6.5,19.2,17.3,25.5,37.2
113.4,26360,13147,6.5,17.0,23.7,33.4,39.9
40.5,11988,13149,6.6,17.5,24.2,33.4,38.6
734.3,236549,13151,6.0,15.1,16.7,29.4,44.2
422.7,158726,13153,6.2,16.0,17.9,31.0,40.4
26.8,9500,13155,6.4,16.3,24.9,36.3,42.2
217.5,73881,13157,6.4,18.3,20.3,28.7,36.6
38.8,14302,13159,6.5,16.9,23.3,33.3,39.7
45.7,15125,13161,6.4,15.3,26.8,39.2,40.0
29.2,15385,13163,6.1,14.4,25.7,40.2,44.4
24.9,8646,13165,6.2,14.6,27.6,42.5,42.9
31.8,9643,13167,6.2,16.7,27.0,38.5,42.2
73.2,28837,13169,6.4,16.9,21.3,31.6,39.1
104.6,19190,13171,6.4,16.4,22.0,32.1,39.9
56.3,10437,13173,6.4,16.3,23.6,35.9,39.9
59.1,47683,13175,6.2,14.1,23.9,37.2,40.8
84.6,30110,13177,6.4,18.1,18.7,28.1,37.0
125.5,61455,13179,6.0,15.9,21.6,34.6,43.3
37.8,7950,13181,6.4,16.2,23.2,34.5,41.3
49.1,19662,13183,6.2,16.8,22.0,34.7,42.0
237.3,117727,13185,6.3,16.3,20.3,32.7,40.2
120.1,33986,13187,6.7,17.6,20.8,30.5,36.1
82.8,21323,13189,6.3,15.2,24.7,36.1,41.6
34.1,14450,13191,6.4,16.2,21.9,33.4,41.6
32.2,12909,13193,5.9,14.7,26.0,41.5,45.8
106.4,30038,13195,6.5,17.3,21.8,32.4,39.0
22.9,8365,13197,6.2,16.0,23.4,35.7,40.9
42.3,21224,13199,6.3,15.7,25.0,37.5,43.1
20.2,5715,13201,6.4,16.1,23.7,34.9,40.9
42.6,21822,13205,6.1,14.8,25.4,40.5,43.3
70.1,27741,13207,6.4,16.9,20.4,29.1,39.8
38.5,9220,13209,6.4,16.5,23.2,34.5,40.2
56.0,19443,13211,6.5,18.2,19.6,29.0,38.0
116.7,40213,13213,6.5,16.3,23.3,35.1,38.3
906.1,196062,13215,6.0,15.2,20.7,33.3,44.3
413.2,112454,13217,6.2,16.4,20.5,34.0,41.9
220.3,40604,13219,6.7,18.5,13.6,21.8,32.7
35.0,15350,13221,6.4,16.8,22.5,33.8,39.1
545.2,170215,13223,6.5,17.5,18.4,29.4,38.8
184.2,27676,13225,6.2,15.7,21.5,35.2,42.5
141.5,32843,13227,6.7,18.7,20.0,27.8,35.9
61.8,19569,13229,6.7,16.6,24.1,34.5,38.1
88.5,19118,13231,6.6,18.7,20.6,28.3,36.9
137.7,42733,13233,6.4,16.7,23.4,35.6,38.4
44.8,11161,13235,6.4,15.2,22.7,34.1,41.0
64.5,22216,13237,6.4,16.2,20.8,32.6,40.2
15.3,2307,13239,6.3,14.4,26.6,40.2,43.5
46.7,17280,13241,6.6,17.0,21.5,32.5,36.6
15.8,6779,13243,6.0,13.2,28.0,42.5,45.7
626.1,203065,13245,6.2,16.4,21.5,36.2,43.3
703.1,91261,13247,6.0,14.8,18.3,31.3,42.7
31.5,5259,13249,6.4,16.6,21.8,32.8,39.8
21.7,13982,13251,6.3,15.9,24.8,36.1,41.7
34.3,8080,13253,6.4,15.6,23.4,34.8,41.6
341.2,67028,13255,6.3,15.7,22.3,35.7,41.9
145.1,25999,13257,6.6,17.6,21.5,31.0,37.7
14.3,6545,13259,5.7,15.5,24.4,43.3,44.0
61.0,29468,13261,6.1,14.6,23.3,37.9,42.7
15.9,6214,13263,6.0,14.6,24.9,38.0,43.7
7.9,1530,13265,6.0,14.9,25.7,39.8,44.9
52.6,25210,13267,6.2,16.2,24.7,37.8,40.8
21.3,8026,13269,6.3,14.9,27.1,39.0,42.2
36.1,15797,13271,5.9,15.9,25.1,42.1,43.1
25.4,8523,13273,6.1,14.2,26.0,40.2,43.6
81.7,44518,13275,6.4,15.4,21.4,33.9,40.8
157.4,40742,13277,6.2,15.3,22.8,35.9,41.4
73.8,26865,13279,6.3,15.5,23.2,36.9,38.1
73.0,12156,13281,6.7,18.0,19.9,28.4,36.6
34.8,6939,13283,6.3,15.8,26.6,38.9,41.0
168.7,69842,13285,6.3,16.5,22.7,35.5,39.5
28.1,8011,13287,6.3,15.1,25.4,38.4,41.7
22.7,8131,13289,6.2,15.8,24.9,37.5,43.5
77.2,24838,13291,6.7,18.1,20.5,30.2,35.9
81.7,26417,13293,6.5,16.1,24.4,35.6,41.6
156.8,69992,13295,6.7,17.3,23.4,33.3,39.9
292.9,95403,13297,6.4,17.1,20.6,31.4,36.8
40.2,35858,13299,6.4,15.2,24.8,37.5,40.3
18.5,5263,13301,6.1,14.2,26.0,39.7,44.4
30.1,20428,13303,6.1,15.7,24.6,37.7,44.0
46.8,30017,13305,6.5,16.7,24.2,35.8,40.2
12.5,2611,13307,6.1,15.7,22.8,35.4,42.1
26.5,7840,13309,6.1,16.5,26.0,39.8,42.8
129.2,31092,13311,6.7,18.9,20.0,27.6,35.1
360.4,104680,13313,6.1,14.8,20.6,34.7,37.0
22.7,8587,13315,6.2,16.8,25.1,38.2,41.9
20.9,9807,13317,6.2,15.0,24.0,37.5,42.3
20.1,8982,13319,6.3,15.5,24.4,37.1,42.2
35.5,20259,13321,6.5,16.1,23.6,35.6,39.5
50.1,201959,15001,5.4,20.9,17.6,24.9,41.6
1618.0,971975,15003,5.2,18.8,13.6,25.1,47.1
7.3,87,15005,5.9,16.1,14.9,19.8,33.2
